text,label
How do I become a permanent resident of UK?,human
"Sharks appeared about 450 Mya, amphibians about 400 Mya, reptiles about 350 Mya, and mammals about 200 Mya.",human
According to a recent publication in Current Biolog,chatgpt
If I were to place a lit matchstick inside the fuel tank of a bike or ca,chatgpt
"The average window for freezing temperatures is October 20 thru April 22, allowing a growing season of 180 days.",human
Joanne Sanderso,chatgpt
"In general, farmers benefit from having an increase in crop yield and from being able to grow a variety of crops throughout the year.",human
The Horton Baptist Church (now Wolfville) in Wolfvill,chatgpt
"Most modern formal and semi-formal clothing is in this category (for example, dress shirts and suits).",human
Is it possible for Tinder to showcase your Facebook friends who are also using Tinder on your profile?,chatgpt
How do I find the best Android app development companies in India?,human
I'm building a social music streaming service. Where do I get music licensing rights?,human
Is it possible for Hillary Clinton to secure a victory in Arkansas during the 2016 election?,chatgpt
"Why do students from liberal arts just repeat the same given ""mantras"" without any critical thought?",human
I am awkward when it comes to a lot of social aspects of my life'.,human
The fundamental requirement for repetition pitch is the inclusion of an exact repetition of the initial sound.,chatgpt
What causes an object to be see-through?,chatgpt
External immigration into Thuringia has been encouraged by the government since about 2010 to counter this problem.,human
Can online bank accounts be used to make outward remittances from India?,chatgpt
"Stinging Medusae of Obelia is pictured left and is a tiny polyp that can sometimes be found attached to rocks and shells, appearing as a delicate whiteish fur in large numbers.",human
"Mexico has a large number of department stores based in Mexico, of which the most traditional are El Palacio de Hierro (High end and luxury goods) and Liverpool (Upper-middle income), with its middle income sister store Fabricas de Francia.",human
The Romneys dine at BurgerFi with their family on Sunda,chatgpt
He was instructed to destroy the confidential paper,chatgpt
Can you explain what Log4j is and its thread-safety features?,chatgpt
How Nidhi Singh earned huge money on Facebook?,human
Is Zomato concerned about the standard of reviews?,chatgpt
What are some suitable research areas for a graduate or PhD student with expertise in asp.net development?,chatgpt
Fastrack  watches feature for copywriting?,human
Can you share some obscure details about the Indian economy?,chatgpt
Why does the United States hate Russia and Putin?,human
"How can the drive from Edmonton to Auckland be described, and how do these cities' attractions compare to those in Montreal?",human
The globe showcases both adventurers.,chatgpt
Are blisters a common symptom of all cold sores?,chatgpt
"Cities were also decimated by the Black Death, but the role of urban areas as centres of learning, commerce and government ensured continued growth.",human
Can  one easily transition to java/android development after working with PHP for more than three years?,human
The name it has been given is not completely precise.,chatgpt
"payment was worth around £963,000, but he could yet pocket as much as .",human
Type-A and Type-B adaptors and cables are required for older devices to plug into Type-C hosts.,human
Which fast food restaurant has the best curly fries?,human
What are the ways to achieve a breathless state during meditation?,chatgpt
Can I become a millionaire selling on Amazon?,human
"I want to install Yelp on my mobile but can't because this app uses location services to operate, and unfortunately, it is not available in my country. Is there a way for me to hack my smartphone's coordinates?",human
"According to one study, ""About 85% of Philippine Aeta women hunt, and they hunt the same quarry as men.",human
Is car insurance or life insurance required for a Transformer?,chatgpt
"He argues that regulators do not require that new drugs offer an improvement over what is already available, or even that they be particularly effective.",human
Would a business trip to San Pedro Sula be secure?,chatgpt
Why do I tend to perceive bad ideas as good when I'm overwhelmed with emotions?,chatgpt
"He could fit in up to five ""bathes"" on a good da",chatgpt
"When doing online dating, and someone asks ""what are you looking for on this site"", what's an appropriate answer?",human
According to Libb,chatgpt
What is the reason behind Android versions being named after desserts?,chatgpt
It is believed that Cuarenta Casas was established as a protective outpost along the trade route from Paquime.,chatgpt
What is the reason for the abundance of questions that are clearly lacking in knowledge?,chatgpt
How do I import xml files into sql with image using codeigniter?,human
"Is ""From Agnes with Love"" an episode of The Twilight Zone?",chatgpt
What holds the greatest significance in life? Is it wealt,chatgpt
Volunteers also set up several websites to help store contact information for victims and evacuees.,human
What is the process for booking classified Text Ads in Hindustan Times? Can recruitment ads be placed using this method?,chatgpt
"If God could destroy Sodom and Gomorrah, why didn't He use the same power to stop the Holocaust?",human
"Developed countries ""tended to have cancers linked to affluence or a 'Western lifestyle' — cancers of the colon, rectum, breast and prostate — that can be caused by obesity, lack of exercise, diet and age.""",human
"Speaking about their relationship, she once said: 'Alberto is the most important love story in my life.",human
"Red Cross aid: 6,000 people have been killed in fighting since separatists took up arms in eastern Ukraine .",human
Being a redhead makes you instantly unique.,chatgpt
How does USB Type-C compare to Type-A and Type-B?,human
Who is Eduardo Saverin?,human
What is the next major innovation following Uber?,chatgpt
What steps can I take to develop a strong commitment to my objective?,chatgpt
"It's heading to Maastricht, Netherlands next -- followed by New York, Toronto and Singapore.",human
"Can   French toast be left out of the refrigerator for an extended period of time? If so, for how long? ",human
Did Hillary Clinton publicly attribute the Benghazi attack to a Youtube video while privately acknowledging to her inner circle that it was a terrorist attack?,chatgpt
A kestrel and a barn owl repeatedly lunged at each other while trying to gain mastery of the box so they could lay eggs and rear their young in safety.,human
The CEO from Japan purchased additional Sanders memorabili,chatgpt
"After  the ban of 500 and 1000 rupees notes, is there a possibility of the value of rupee rising?",human
Will mexico ever get rid of corruption?,human
What is the reason behind the single phase induction motor's inability to self-start?,chatgpt
A hire car associated with ex-Eastenders actress Danniella Westbrook was searched by polic,chatgpt
How can you identify the gender of an animal?,human
Can a Physical Science graduate pursue a career in Egyptology?,chatgpt
Sedimentary rock can be eroded and redeposite,chatgpt
If you were to wake up one day and forget all the languages you kno,chatgpt
What is the importance of mitochondria in a cell?,human
The former England striker and Match of the Day pundit shared his views on Twitter.,chatgpt
The biggest ship ever built in Antiquity was the Ptolemaic Tessarakonteres.,chatgpt
"The LAPD confirmed to MailOnline on Wednesday that they never reopened a case into Collins, and had simply been reviewing the recording in October.",human
What is the extent of Chatrapati Shivaji Maharaj's recognition beyond Maharashtra?,chatgpt
"One month into his term as president, what do Filipinos think of Rodrigo Duterte?",human
How do I manage my employee and my boss?,human
What will be PSUs salary after 7th pay commission?,human
"After several failures, the movement's leaders decided to use any means that were necessary to accomplish their goals.",human
"How do you say ""I'm sorry"" in Korean? Is there a more formal and informal way to say it?",human
In order for Paris to receive supplie,chatgpt
In what ways do beliefs influence the behavior of human,chatgpt
Can the terrorist attack USA again?,human
Which place is good to buy a 2 bhk apartment in Hyderabad with the budget of 30L?,human
What is the reason for Deepika Padukone's affection towards Ranveer Singh?,chatgpt
Boobs have phenomenal powers to control men .,human
Which American author is the greatest of all time?,chatgpt
What is the reason for a male porn actor to perform analingus on a female porn actor in adult films?,chatgpt
The state has been won by Republicans with significant leads since 1972.,chatgpt
Erik Bonett,chatgpt
What are the examples of anaerobic exercise?,human
Can my wife notarize a document for me?,human
What are some lesser-known facts about India Pakistan's partition in 1947?,human
What is the Lagrange dual problem?,chatgpt
Can you provide me with five pieces of information about Canada?,chatgpt
How does it feel to love someone who is rude to you?,human
Did John Glenn's facial features suggest high or low levels of testosterone?,chatgpt
The piano is present in all of his recognized composition,chatgpt
How do I start learning data analytics step by step?,human
What are the most melodious languages in the world?,chatgpt
Could someone provide a summary of the storyline following Carter's demise in Person of Interest?,chatgpt
"Mayor Sam Adams said late Sunday afternoon that ""a series of increased drug overdoses... an arsonist that used the camp as camouflage and almost a 20% increase in crime surrounding the encampment"" prompted the move.",human
Ms Lisle-Mainwaring has submitted several planning applications but ultimately wishes to demolish the current property and rebuild it to take it from three-storeys to five-storeys with a double basement below ground.,human
"In June 2008, a Forbes magazine article projected the 2008 revenue at $200 million, noting progress in advertising sales.",human
What will you do if you made a regretful decision in life?,human
What causes the disparity in the value of companies?,chatgpt
Why nobody hacked Apple iMessage?,human
Is there anything in your life that you would do differently if given the opportunity?,chatgpt
What is the number of oxygen atoms present in a single water molecule?,chatgpt
Can Homeland be streamed on iTune,chatgpt
What is the difference between social science and natural science?,human
"What is the relationship between wavelength, wave frequency, and wave velocity?",human
The university was able to build ten buildings instead of the planned seven due to the delay.,chatgpt
What of we made captain America shield with New Magnesium based alloy?,human
Which features make Star Wars: The Old Republic the best?,chatgpt
PM fields (stators) are convenient in miniature motors to eliminate the power consumption of the field winding.,human
What causes individuals to raise their voices when they're intoxicated?,chatgpt
Can you fall in love with a number?,human
How much money is in Scrooge McDuck's money bin?,human
What is error analysis in English?,human
What does the social contract theory entail?,chatgpt
Can sociology be considered a scientific discipline?,chatgpt
Joel Osteen addresses online hoax.,chatgpt
What is the best option for a mechanical engineer after bachelor of engineering?,human
What was the FourFourTwo article written by Jonathan Wilson in 2005 that served as the basis for his boo,chatgpt
How can I start with online marketing?,human
The service sector has expanded since the 1990s due to the growth of information technology (IT,chatgpt
What is the top-rated bicycle store in Copenhagen?,chatgpt
Is it possible to purchase additional storage for your computer?,chatgpt
"What are the months in seasons for Chicago, Midwest?",human
The three bands are equipped with an Arm Cortex M4 processor and meet the IP67 standard for water and dust resistance.,chatgpt
The representative stated that the current solution was temporary and would be substituted with a suitable alert system within a month.,chatgpt
"Continuing with this logic, the mesopleura and metapleura, as well as the mesosternum and metasternum, are used.",human
Are the majority of attractive men gay or secretly gay?,chatgpt
What would occur if a black hole approached our sun?,chatgpt
He has prayed for peace and worked for peace.,human
Is it necessary to compile C# libraries into DLLs for their usage?,chatgpt
Why does the United States only have 11 aircraft carriers?,human
Where can I purchase first copy branded watches in Mumba,chatgpt
"The structure known as ""Virgil's tomb"" is found at the entrance of an ancient Roman tunnel (also known as ""grotta vecchia"") in Piedigrotta, a district two miles from the centre of Naples, near the Mergellina harbor, on the road heading north along the coast to Pozzuoli.",human
What is a project? How to develop a project,human
"The Jews who occupied the area around the waterfront had progressed economically and socially, and their quarter gradually expanded its boundaries at the expense of neighbouring parishes.",human
What will happen to the black money kept in Swiss bank after the demonitization of 1000 and 500 rupee notes?,human
The homeowners have expressed their desire to send a message to their neighbors following their ordeal.,chatgpt
I would definitely deny being addicted to or overusing my smartphone if asked.,chatgpt
"The main cause of TB is Mycobacterium tuberculosis, a small, aerobic, nonmotile bacillus.",human
"However, the agency also said Iran is withholding information in other areas, and as a result, the IAEA's knowledge about the status of the program is ""diminishing.""",human
"fashioned police work,' Mr Silva told ABC News.",human
"Can you explain the meaning of ""Git"" in simple terms for someone who is not familiar with computer science jargon?",chatgpt
Did I perform sexual battery when I touched a guy's dick after having slept together in the same bed at a convention?,human
He should not scandalize his name forever by holding his one and only life too dear....One's main purpose in throwing away his life is to do so either for the sake of the Emperor or in some great undertaking of a military general.,human
What is the best way to revise my maths concept?,human
Why are panda bears going extinct?,human
The conservatives of the Qing Court opposed numerous measure,chatgpt
"Why do traders in investment banks feel their jobs are immune from AI, automation, and deep learning?",human
How can I exercise without losing weight?,human
What is the level of detail provided by spy satellites?,chatgpt
What is the top free antivirus software for my laptop and what makes it stand out?,chatgpt
"Window to the world: The glass frontage being added to the core of the building, situated near London Bridge .",human
What advice can you give for successfully navigating the job interview process at Silicon Laboratories?,chatgpt
These arose through complex plant-animal adaptations.,human
The city of Houston owns and runs the Lee and Joe Jamail Skatepar,chatgpt
What book would you recommend for those who are new to Android app development?,chatgpt
What steps should I take to secure a job at Microsoft?,chatgpt
What are some online stores that sell high-quality induction cookers for Rs. 4000 - 5000?,chatgpt
Are there Clinton campaign agents infiltrating Quora?,chatgpt
a wildlife reserve that includes a mixture of thick jungle and open .,human
Some view it as a component of postmodernis,chatgpt
"Shockingly, during her ordeal she told police and social services she was being abused, but nothing was done to help her.",human
Why do we walk?,human
With advancements in telescope and photographic technolog,chatgpt
"Which religion came to existence first, Christianity or Islam?",human
"A key change brought about by Christian thought was the moderatation of the Stoicism and theory of justice of the Roman world, as well emphasis on the role of the state in applying mercy as a moral example.",human
What would it be like to sail to Hawaii?,human
Army medics sitting at the adjacent table provided immediate treatment to Ms Bull before she was taken to the hospital.,chatgpt
"Though technically not allowed by the Spanish authorities, the Spanish were never able to effectively police the border region and the backwoods settlers from the United States would continue to migrate into Florida unchecked.",human
What was the beginning of your journey in learning hacking?,chatgpt
Palace eunuch Sun Cheng (d. 132 AD) orchestrated a successful coup to install Emperor Shun of Han (r. 125–144 AD) after overthrowing her regime.,chatgpt
"The term ""Czechoslovak"" now pertains to makeshift pidgins that have emerged due to the decline in mutual comprehension among languages.",chatgpt
The majority of these businesse,chatgpt
The sport blends balle,chatgpt
How do people with clinical depression cope with stress? Should they avoid stressful jobs?,human
Is it possible to manipulate our actions while dreaming?,chatgpt
Behind and above the torana there are thirteen tiers.,human
Why don't pets receive the same regular bathing as humans?,chatgpt
I'm 22 years old Indian male; height 175 cm. How can I increase it to 179 or 180 cm?,human
Which bike is better Royal Enfield or KTM?,human
How can I improve my English speaking .?,human
What is the reason behind the majority's dislike for Rana Ayyub?,chatgpt
"With the beginning of the new era, the after Stalin period called the ""thaw"", in the late 1950s, the new political leader Nikita Khrushchev put even more pressure on the Soviet-American relations starting a new wave of anti-imperialist propaganda.",human
What is the feeling to have sexual intercourse at the first time?,human
How does a quartz clock work?,human
"In this context, passages written by Popper are frequently quoted in which he speaks about such issues himself.",human
How do CuSO4 and Na3PO4 differ from each other?,chatgpt
What is the method for calculating the worth of a 1918 half penny?,chatgpt
"Jailed: Daniel Brown, 33, is sentenced at Manhattan Supreme Court for his sickening attacks on two girlfriends .",human
Is there a way for me to cease pulling my hair unknowingly while programming when my mind is occupied?,chatgpt
How do I handle my anger issues?,human
"What is the meaning of a woman ""beating her chest""?",chatgpt
Can downloading movies and music through torrents result in legal consequences in Canada and the USA?,chatgpt
How does an MBA differ from a Master's in Management?,chatgpt
How do I improve my skin texture?,human
What are the demographics of Quora users and the main personas?,human
The destiny of the former Italian colonies remained a topic of discussion in the United Nations.,chatgpt
The conflict regarding the Falklands started to intensify in January of the previous yea,chatgpt
What are the ways to distinguish individuals of Chines,chatgpt
The country has been split by the problem.,chatgpt
Is there a genuine contrast between hand cream and facial crea,chatgpt
"The most common source of new genes in eukaryotic lineages is gene duplication, which creates copy number variation of an existing gene in the genome.",human
What is hindering the success of your business ideas in South Africa?,chatgpt
Making choux in a Thermomix is as easy as adding wate,chatgpt
"The dance hall has been cleaned up, if not fully restored.",human
What is the sensation of being incarcerated?,chatgpt
The  importance of the International Criminal Court and its connection to institutions dealing with the International Court of Justice. ,human
What is the mechanism behind the intoxicating effects of sniffing glue?,chatgpt
Are you fond of meeting unfamiliar individuals?,chatgpt
Why test question sldkjfsd fsldkfjsldkf jslkdjfslkdjf?,human
What are the ways to successfully pass a TranscribeMe exam?,chatgpt
The Premier League record of Chelsea with and without Cesc Fabregas this season.,chatgpt
"What is the stance of ""The Bible"" on tithing?",chatgpt
Will I get an interview call from SPJIMR after scoring a 99.25 percentile in CAT 2015?,human
What are some of the best lessons you learned from a book?,human
Given the high level of backing for immigration reform in poll,chatgpt
What is the process of creating a chemical equation?,chatgpt
How much eau de perfume to wear?,human
Lee and Peck shared a friendship long after the movie was made.,human
What is the typical rate of conversion for online retail store visitors?,chatgpt
"After the umbrella attack, Markov .",human
Yesterday as wel,chatgpt
"Many had German names such as Fritz or Hans, a cause for anti-German discrimination.",human
The European Central Bank's balance sheet lists the contracts as assets and the deposits in member banks as liabilities.,chatgpt
Which book is recommended for physics first year in BITS Pilani Pilani campus?,human
"Left untreated, of those that contract the bubonic plague, 80 percent die within eight days.",human
"In 2013 Apple paid $36 million in tax despite making $6.1 billion in Australia, while Google paid just $7.1 million despite making $46.5 million.",human
What are the career options after bsc physics?,human
What are some ways to enhance my English skills in 6 months? Is it possible to improve my English by reading books?,chatgpt
What impact will Donald Trump's win have on the relationship between India and the United States?,chatgpt
When can we expect Snow Patrol to release their new singl,chatgpt
Armenian culture is known for its popularity of ghapam,chatgpt
Does French remain a valuable language for conducting business in France?,chatgpt
"Imagine  a world where every person had the same opinion, what would that one opinion be?",human
He stated that he engaged in a sexual relationship.,chatgpt
What are some amazing Android apps most people don't know about?,human
What  misstep do you rue the most?,human
Does a peck on the lips count as a first kiss?,human
What is the maximum size difference between male and female bicep muscles?,chatgpt
The presence of General Secretary Hu Jinta,chatgpt
How can the balanced chemical equation for respiration be obtained?,human
Is Online Judge as major project for an IT student a little too basic?,human
Is there a reason why SC/ST students are exempted from paying fees in government college,chatgpt
I desire to enhance my English language skills.,chatgpt
How do I keep friendship forever?,human
What actions should I take if I am enamored with myself?,chatgpt
take it without massive help from Nato airstrikes.,human
"He reached the final at Indian Wells before losing to Nadal's conqueror Ivan Ljubicic, and was also a semifinalist in Miami in 2008.",human
Have you ever been dropped back a grade in school?,human
The Rotherham hearing was told Mrs Darby had a lower than normal body mass index and had been assessed at risk of malnutrition four months before she went into the home.,human
What causes individuals to overlook Donald Trump's accomplishments as a prosperous entrepreneur?,chatgpt
Who would emerge victorious in a battle between Yujiro Hanm,chatgpt
Will there be a Metal Gear Solid 6?,human
How does the flume agent gets the available free block and data node information on hdfs for storing the data?,human
Gabby Douglas achieved gold in gymnastic,chatgpt
Which country is considered a dominant force in cricket?,chatgpt
What was the process of constructing the Great Wall of China?,chatgpt
What distinguishes share from equity?,chatgpt
Is there any presence of the Illuminati in India? Do they influence the government in any way?,human
"Starting in 2010/2011, Hauptschulen were merged with Realschulen and Gesamtschulen to form a new type of comprehensive school in the German States of Berlin and Hamburg, called Stadtteilschule in Hamburg and Sekundarschule in Berlin (see: Education in Berlin, Education in Hamburg).",human
"But Jaguar as a whole leapt ahead of the opposition by clinching the top ranking when it came to car manufacturers, beating Japan’s Lexus and Honda - with Skoda in fourth place ahead of Germany’s Mercedes-Benz.",human
"As  a newcomer, which company should I select – Cognizant or Accenture?",human
What does ทวิชา mean?,chatgpt
What can I buy in India with bitcoin?,human
Display Ri Sol-Ju donning a well-fitted two-piece skirt suit in opposition.,chatgpt
Nutritional imbalances or excessive consumption are the main causes of malnutrition-related diseases in developed countries.,chatgpt
Star TV was launched in July 199,chatgpt
"Consequently, the third person plural forms hun and hen are interchangeable in normal usage, with hun being more common.",human
Is an M.B.A. program offered at Delhi School of Economics? If s,chatgpt
He received payment for at least eight months during his 12-month notice period.,chatgpt
What distinguishes Dropbox Paper from Quip?,chatgpt
Has anyone received the NDA 138th SSB call letter for army?,chatgpt
What is the actual situation of Aam Aadmi Party in Gujarat?,chatgpt
At what time should I submit my university application?,chatgpt
When the polls indicate a need for a boos,chatgpt
Amazon (company): Has anyone done machine learning on Amazon product datasets?,human
What are some of the best TV series to watch on Netflix?,human
This is an on-campus apartment complex where students commit to speak only their chosen foreign language while in their apartments.,human
Ramsey wheels away in celebration after scoring in extra time at Wembley against Hull City .,human
Can a fictitious name be trademarked?,chatgpt
Diete,chatgpt
During the subsequent two year,chatgpt
How do you know if a guy is playing you?,human
"Outside London other outbreaks have been at Brighton & Sussex University Hospital NHS Trust, Luton and Dunstable University Hospital, Peterborough City .",human
How can we improve our handwriting?,human
What are the pros and cons of socialism and communism?,human
"scheme risks putting question marks over the grades achieved in January, .",human
What are some recommended readings to begin learning about Buddhism?,chatgpt
The Education and Employment Directorate provides courses for individuals with disabilitie,chatgpt
What is the English translation of this?,chatgpt
What is the significance of dreaming about snakes emerging from the nose?,chatgpt
Which data science meetups are considered the top ones in Silicon Valley?,chatgpt
forces loyal to Gaddafi massacred detainees at two military camps in .,human
The Batavian Republic was established after a succession of republican uprisings between 1783 and 179,chatgpt
The traditional ideas are insufficient in explaining change and neglect the dynamic and experiential essence of fundamental elements in the universe.,chatgpt
Yesterday in Kie,chatgpt
What is the difference between RealD 3D and IMAX as far as watching a movie in a theatre is concerned? Is IMAX worth the extra time and money required?,human
Which is the best specialisation for a B.Tech in CSE from UPES?,human
Can you explain what a script is?,chatgpt
The northwestern coast and islands of Estonia have been historically inhabited by the indigenous Rannarootslased (Coastal Swedes).,chatgpt
Glycoge,chatgpt
HMS Queen Elizabeth is projected to commission in 2017 followed by Prince of Wales in about 2020.,human
Can  you use two or more triggers and actions on IFTTT? How can I do that?,human
What are the steps to get ready for the JEE advanced exam?,chatgpt
At the same time the Treasury announced a ban on loans above 4.5 times salary on its Help to Buy mortgage guarantee scheme .,human
"In 968, the Pechenegs attacked and besieged the city of Kiev.",human
What is the reason behind some British people's insistence on highlighting that Yankee Doodle was originally a British song?,chatgpt
Tropicality can be paralleled with Edward Said’s Orientalism as the west’s construction of the east as the “other”.,human
Is it possible to use Noxema to cure a sunburn?,chatgpt
What are the most desirable characteristics of a Black Lab and Border Collie hybrid's personality?,chatgpt
"Which scenes and quotes stand out as the most memorable in ""Ill Manors""?",chatgpt
What are some good mff threesome sex positions?,human
What are the top dog breeds for providing emotional support?,chatgpt
Can someone still track you down even if you have your location services turned off?,human
Trevor has confessed to dating on a blind date.,chatgpt
In what manner would I like to re-live my life?,chatgpt
The Japanese carriers were discovered by American dive bomber,chatgpt
How do i become an avid reader?,human
Is it safe for dogs to consume cat food?,chatgpt
What are the initial steps to take when starting an online business from scratch?,chatgpt
What is the syllabus for neet?,human
It is often believed that girls seek a loving partne,chatgpt
"In the orthohydrogen form, the spins of the two protons are parallel and form a triplet state with a molecular spin quantum number of 1 (1⁄2+1⁄2); in the parahydrogen form the spins are antiparallel and form a singlet with a molecular spin quantum number of 0 (1⁄2–1⁄2).",human
What are the craziest/weirdest things you've seen a deer do?,human
How do I create a website like freepostcodelottery.com?,human
Michelle Obama rallied in Cleveland today and stated on a radio show last week that the U.S. economy was recoverin,chatgpt
What are some tips for winning Reality TV Island on Poptropica?,chatgpt
Verbal reports cannot be used to evaluate the memory of very young children as infants lack the language proficiency to report their memories.,chatgpt
In a battle between Wolverine and Gorilla Groo,chatgpt
What is it like to have no work life balance?,human
There's a glass of Montepulciano di Abruzzo red wine on the table.,human
Is it possible that this pilot selfie is authentic?,chatgpt
Paris has the second highest ticket sales ever recorde,chatgpt
What is the standard English (not French) pronunciation of the word 'Monsieur'?,human
The courts of member states and the Court of Justice of the European Union enforce European Union law.,chatgpt
The coronation of George VI was held on May 1,chatgpt
A disagreement arose once more between the states of Coahuil,chatgpt
Apple later released an update to its iTunes music player software that allowed users to burn CD,chatgpt
Opportunistic pathogen,chatgpt
What makes a man think he is better than people around him?,human
It is evident that one side has the advantage in terms of justice.,chatgpt
What is the opinion of Romanians towards Indian individuals?,chatgpt
Is it technically accurate to say that we don't touch anything?,chatgpt
It showed the Crawley family transforming their house into a rest home for injured officers.,human
Would patience still be considered a virtue if time didn't exist?,chatgpt
Does the US president get to enjoy his weekend given that crisis can happen over the weekend?,human
Has the entire Game of Thrones season 7 plot been revealed?,human
What are the advantages and disadvantages of having an electric vehicle in Honolulu?,chatgpt
What is the process for selecting a mobile data option between 2g and 3g on Apple iOS 8.1.2?,chatgpt
Two lines opened in 1925 under the Southern Railway serving Coulsdon North and Sutton railway station.,human
Have you even been into a Car accident? What was the reason for the accident?,human
"John Wesley, the principal founder of the Methodist movement within the Church of England, believed that Mary ""continued a pure and unspotted virgin"", thus upholding the doctrine of the perpetual virginity of Mary.",human
"Regarding the monastic rules, the Buddha constantly reminds his hearers that it is the spirit that counts.",human
Our gaze often meets and linger,chatgpt
What are the best Quora answers?,human
Real Estate Investing: Is owning a rental property worth the headache?,human
Although exhibition matches are not rar,chatgpt
Why do some Indian men always wear dress clothes?,human
What is the process of generating radio waves? Is it possible to create them at home?,chatgpt
"season, with many starting to get organised even earlier than usual this .",human
Was M K Gandhi a genuine freedom fighter? Was he really the reason behind India's independence? What could we learn from his life?,human
How can I ‘naturally’ remove blackheads and whiteheads from my nose?,human
The image depicts the moment right before it collapsed.,chatgpt
The school's mission is to act as a representative of the LDS Church and Jesus Christ to the world.,chatgpt
Memory is viewed by cognitive neuroscientists as the preservatio,chatgpt
What should I do when my teacher makes fun of my grammatical errors in front of the whole class?,human
Owen Paterson's Department of Environmen,chatgpt
The halving of the genetic material in gametes is accomplished by the segregation of homologous chromosomes during meiosis.,human
The first couple will be present at the Let Freedom Ring Celebration at the Kennedy Center on Monday evening.,chatgpt
As an avionics majo,chatgpt
"The officers he worked with referred to him as ""Mr. Johnson"".",chatgpt
"Which is a suitable solar panel installation provider near Nevada City, California CA?",human
What is the reason for Spotify's unavailability in India?,chatgpt
Is it considered good or bad tha,chatgpt
Which are the best songs of Sonu Nigam?,human
"Britain was left essentially bankrupt, with insolvency only averted in 1946 after the negotiation of a $US 4.33 billion loan (US$56 billion in 2012) from the United States, the last instalment of which was repaid in 2006.",human
"Singh, who converted from Christianity to the Sikh religion when he was in his 20s, is campaigning to make the courthouse change its rules.",human
Thousands of Huguenots were killed by Catholics in Paris during the St. Bartholomew's Day Massacre from 24 August to 3 October 1572.,chatgpt
How has your understanding of programming changed in general after learning Scala?,chatgpt
What are the characteristics of a 32 bit video editing software?,human
How much time does the stomach take to send the first particles of chyme to the small intestine?,human
What are some ways to appear intelligent?,chatgpt
"Why is the ""Screen Options"" and ""Help"" feature not functioning in my Wordpress dashboard?",chatgpt
What is the one thing you wish you could undo?,chatgpt
What is causing the slow speed of Windows 10 reset?,chatgpt
"Why are child sexual predators like this creep Matthew Smith BNP Paribas who travels to Asia for sex tourism with children, are allowed on Quora?",human
What can cause a person to vomit white foam?,human
How can I get bigger shoulders?,human
What is the recommended amount of bentonite clay to include in shave soa,chatgpt
The specialist baker reveals she recently received a request for a bloody three-tier murder scene for an unnamed client who wanted to mark her divorce in style.,human
Why songs and music is forbidden In Islam?,human
What is the reason for my ability to write more effectively than I can communicate verball,chatgpt
Can you provide a complete account of Adam and Eve's story?,chatgpt
When you submit your new for,chatgpt
The Toungoo-Hanthawaddy War (1534-41) saw Taungoo's determined and youthful ruler Tabinshwehti emerge victorious over the stronger Hanthawaddy.,chatgpt
"Under the CBC's current arrangement with Rogers Communications for National Hockey League broadcast rights, Hockey Night in Canada broadcasts on CBC-owned stations and affiliates are not technically aired over the CBC Television network, but over a separate CRTC-licensed part-time network operated by Rogers.",human
What is conclusion on nuclear energy?,human
Can you provide a list of present-day products that are named after Greek mythological figures?,chatgpt
Did you like Khal Drogo or not?,human
What motivates individuals to pursue a career in the adult entertainment industry?,chatgpt
Is bull sperm present in energy drinks?,chatgpt
Erik Compton was in dreamland as he shot 73 on his debut.,human
"The various sibling traditions included in Hindu philosophies are diverse, and they are united by shared history and concepts, same textual resources, similar ontological and soteriological focus, and cosmology.",human
Why does my ex boyfriend still willing hug and kiss me on the lips whenever we part after meeting up?,human
Why are the Indian National Congress Party policies more into free distribution schemes instead of development orientation?,human
Which is the most effective moisturizer for oily skin?,chatgpt
The Late Carboniferous saw the emergence of the first amniotes.,chatgpt
Does it shock you to discover that authoritarianism is more commonly associated with liberalism rather than conservatism?,chatgpt
How can I get my email and password on my Twitter account?,human
What is the reason behind Alia Bhatt's fame?,chatgpt
Was Sandy Hook staged to promote gun control?,human
What do Mathematical puzzles refer to?,chatgpt
What is the average weight of sumo wrestlers?,chatgpt
What are some incredible technology hacks?,chatgpt
Ecology: Which environmental factors increase biodiversity?,human
How would you describe the experience of working as a lawyer?,chatgpt
Why do they classify the modern man as Homo sapiens sapiens? What makes a being a Homo sapiens sapiens?,human
Does Obama secretly practice Islam?,chatgpt
The principle remains valid regardless of the literary era.,chatgpt
According to Jumma Ibrahi,chatgpt
He acknowledged his error and used a cricket bat to force open the door before carrying her downstair,chatgpt
What causes me to feel nauseous and burp frequently after exercising?,chatgpt
Is the idea of UFOs being a conspiracy theory valid?,chatgpt
Can you provide statistical information on blindness in India between 2010 and 2014?,chatgpt
"Seattle became the primary hub for miners in Alaska and the Yukon after the S.S. Portland arrived with its famous ""ton of gold"" on July 1",chatgpt
"Herbicides became common in the 1960s, led by ""triazine and other nitrogen-based compounds, carboxylic acids such as 2,4-dichlorophenoxyacetic acid, and glyphosate"".",human
Is it possible to turn on the car's AC while driving at high speeds? If no,chatgpt
"Around 70 guests were mingling in the marquee of the countryside wedding venue when there was an 'enormous explosion' as fireworks went off in a nearby outbuilding, sparking a huge fire, witnesses said.",human
What is a working week like in the life of a flight attendant or steward?,human
Can you explain the link between logic and truth?,chatgpt
Zeno gained immense popularit,chatgpt
Yaseena Oati,chatgpt
Is there a limit to how much someone can learn?,human
How do I preserve coconut flesh?,human
